date,timestamp,pm2.5,temperature,humidity,filter
2018-02-21T03,1519153200,11.95,22.00,67.00,94.00
2018-02-21T04,1519156800,11.30,22.00,65.00,94.00
2018-02-21T05,1519160400,10.97,23.00,65.00,93.00
2018-03-01T15,1519887600,12.42,23.00,75.00,87.00
2018-03-02T01,1519923600,9.93,24.00,73.00,87.00
2018-03-02T02,1519927200,9.54,24.00,71.00,87.00
2018-03-02T03,1519930800,11.31,24.00,71.00,87.00
2018-03-02T04,1519934400,22.08,25.00,71.00,87.00
2018-03-02T05,1519938000,29.09,24.00,72.00,86.00
2018-03-02T06,1519941600,32.61,25.00,69.00,86.00
2018-03-02T07,1519945200,23.61,25.00,67.00,86.00
2018-03-02T08,1519948800,33.99,26.00,67.00,86.00
2018-03-02T09,1519952400,34.75,26.00,67.00,86.00
2018-03-02T10,1519956000,46.24,24.00,69.00,86.00
2018-03-02T11,1519959600,34.84,23.00,69.00,86.00
2018-03-02T12,1519963200,32.54,22.00,67.00,86.00
2018-03-02T13,1519966800,35.63,21.00,65.00,86.00
2018-03-02T14,1519970400,33.86,22.00,68.00,86.00
2018-03-02T15,1519974000,33.05,23.00,74.00,86.00
2018-03-02T16,1519977600,55.71,23.00,73.00,86.00
2018-03-02T17,1519981200,23.57,23.00,71.00,86.00
2018-03-02T18,1519984800,18.87,23.00,71.00,86.00
2018-03-02T19,1519988400,18.61,23.00,71.00,86.00
2018-03-02T20,1519992000,19.36,23.00,71.00,86.00
2018-03-02T21,1519995600,19.97,23.00,71.00,86.00
2018-03-02T22,1519999200,20.56,23.00,71.00,86.00
2018-03-02T23,1520002800,20.17,23.00,72.00,86.00
2018-03-03T00,1520006400,20.92,23.00,71.00,86.00
2018-03-03T01,1520010000,21.52,24.00,70.00,86.00
2018-03-03T02,1520013600,21.80,24.00,69.00,86.00
2018-03-03T04,1520020800,21.41,25.00,68.00,86.00
2018-03-03T05,1520024400,22.46,25.00,70.00,86.00
2018-03-03T06,1520028000,24.61,24.00,71.00,86.00
2018-03-03T07,1520031600,30.43,25.00,70.00,86.00
2018-03-03T08,1520035200,37.50,26.00,73.00,85.00
2018-03-03T09,1520038800,37.69,26.00,74.00,85.00
2018-03-03T10,1520042400,35.14,26.00,75.00,85.00
2018-03-03T11,1520046000,36.00,25.00,75.00,85.00
2018-03-03T12,1520049600,34.36,25.00,76.00,85.00
2018-03-03T13,1520053200,29.39,24.00,78.00,85.00
2018-03-03T14,1520056800,25.14,24.00,76.00,85.00
2018-03-03T15,1520060400,21.64,24.00,76.00,85.00
2018-03-03T16,1520064000,19.40,24.00,75.00,85.00
2018-03-03T17,1520067600,18.42,24.00,74.00,85.00
2018-03-03T18,1520071200,19.03,24.00,75.00,85.00
2018-03-03T19,1520074800,18.70,24.00,74.00,85.00
2018-03-03T20,1520078400,17.82,24.00,74.00,85.00
2018-03-03T21,1520082000,17.87,24.00,75.00,85.00
2018-03-03T22,1520085600,17.02,24.00,74.00,85.00
2018-03-03T23,1520089200,16.47,24.00,76.00,85.00
2018-03-04T00,1520092800,16.79,24.00,74.00,85.00
2018-03-04T01,1520096400,19.63,24.00,74.00,85.00
2018-03-04T02,1520100000,25.61,26.00,74.00,85.00
2018-03-04T03,1520103600,35.05,26.00,74.00,85.00
2018-03-04T04,1520107200,36.91,26.00,73.00,85.00
2018-03-04T05,1520110800,29.37,26.00,74.00,85.00
2018-03-04T06,1520114400,27.84,26.00,74.00,85.00
2018-03-04T07,1520118000,30.07,26.00,74.00,85.00
2018-03-04T08,1520121600,26.97,24.00,66.00,85.00
2018-03-04T09,1520125200,20.33,24.00,64.00,85.00
2018-03-04T10,1520128800,21.16,24.00,65.00,85.00
2018-03-04T11,1520132400,20.51,25.00,66.00,85.00
2018-03-04T12,1520136000,30.34,24.00,69.00,85.00
2018-03-04T13,1520139600,34.21,23.00,72.00,85.00
2018-03-04T14,1520143200,34.82,23.00,75.00,85.00
2018-03-04T15,1520146800,33.45,24.00,76.00,85.00
2018-03-04T16,1520150400,31.13,25.00,74.00,85.00
2018-03-04T17,1520154000,22.11,25.00,71.00,85.00
2018-03-04T18,1520157600,18.29,25.00,71.00,85.00
2018-03-04T19,1520161200,21.82,25.00,73.00,85.00
2018-03-04T20,1520164800,25.90,25.00,75.00,85.00
2018-03-04T21,1520168400,27.27,25.00,76.00,85.00
2018-03-04T22,1520172000,25.02,24.00,78.00,84.00
2018-03-04T23,1520175600,22.88,24.00,79.00,84.00
2018-03-05T00,1520179200,20.43,26.00,75.00,84.00
2018-03-05T01,1520182800,24.78,27.00,73.00,84.00
2018-03-05T02,1520186400,39.78,26.00,75.00,84.00
2018-03-06T07,1520290800,11.51,23.00,69.00,83.00
2018-03-06T08,1520294400,11.79,22.00,69.00,83.00
2018-03-06T09,1520298000,13.03,21.00,71.00,83.00
2018-03-06T10,1520301600,11.86,22.00,71.00,83.00
